anime_id,title,score,rank,popularity,members,genres,studios,sentiment_score,controversy_index,emotional_intensity,review_count_scraped,synopsis_length,positive_keywords_count,negative_keywords_count,hype_ratio
47778,,,,,,"Action, Supernatural, Historical, Shounen",ufotable,0.097,3.3,0.541,3,625,4,5,0
50172,,,,,,"Action, Comedy, Supernatural",Bones,0.132,1.886,0.568,3,828,3,3,0
53447,,,,,,"Action, Super Power","Pb Animation, LAN Studio, Paper Plane Animation Studio",0.176,1.633,0.485,3,479,4,1,0
33095,,,,,,"Drama, Adult Cast, Historical, Love Polygon, Performing Arts, Josei",Studio Deen,0.105,3.266,0.469,3,1075,2,3,0
53998,,,,,,"Action, Adventure, Supernatural, Shounen",Studio Pierrot,0.143,2.494,0.526,3,991,6,5,0
52215,,,,,,"Drama, Historical, Seinen",Madhouse,0.135,2.16,0.48,3,1121,4,2,0
44,,,,,,"Action, Drama, Romance, Adult Cast, Historical, Samurai, Shounen",Studio Deen,0.098,2.357,0.556,3,839,7,1,0
33352,,,,,,Drama,Kyoto Animation,0.129,1.633,0.509,3,963,2,3,0
245,,,,,,"Comedy, Delinquents, School, Workplace, Shounen",Studio Pierrot,0.071,2.449,0.546,3,1335,3,3,0
59845,,,,,,"Drama, Romance, School",CloverWorks,0.132,1.7,0.551,3,1009,1,0,0
40434,,,,,,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation",B.CMAY PICTURES,0.136,0.816,0.455,3,974,2,0,0
21939,,,,,,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",Artland,0.117,2.16,0.466,3,954,1,2,0
164,,,,,,"Action, Adventure, Award Winning, Fantasy",Studio Ghibli,0.099,3.682,0.472,3,987,5,2,0
56784,,,,,,"Action, Adventure, Supernatural, Shounen",Pierrot Films,0.069,3.3,0.517,3,1050,0,2,0
59986,,,,,,"Comedy, Adult Cast, Gag Humor, Seinen","Zero-G, Liber",0.124,1.7,0.519,3,28,3,2,0
5258,,,,,,"Sports, Combat Sports, Shounen",Madhouse,0.149,0.816,0.508,3,610,4,3,0
431,,,,,,"Adventure, Award Winning, Drama, Fantasy, Romance",Studio Ghibli,0.205,2.867,0.567,3,1091,5,2,0
49818,,,,,,"Action, Fantasy, Mystery, Suspense, Adult Cast, Isekai, Urban Fantasy",B.CMAY PICTURES,0.129,3.742,0.523,3,280,2,2,0
57864,,,,,,"Comedy, Mystery, Supernatural, Vampire",Shaft,0.145,0.943,0.526,3,1256,2,2,0
457,,,,,,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",Artland,0.136,2.055,0.476,3,1022,5,1,0
58567,,,,,,"Action, Adventure, Fantasy, Adult Cast, Urban Fantasy",A-1 Pictures,0.147,2.449,0.545,3,778,2,5,0
50399,,,,,,"Action, Adventure, Drama, Fantasy, Historical, Mythology",Red Dog Culture House,0.164,1.633,0.469,3,1077,2,0,0
23273,,,,,,"Drama, Romance, Love Polygon, Music, Performing Arts, School, Shounen",A-1 Pictures,0.142,2.16,0.499,3,957,3,2,0
49413,,,,,,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",LAN Studio,0.132,2.494,0.456,3,708,2,2,0
35760,,,,,,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",Wit Studio,0.061,3.3,0.497,3,1139,3,1,0
2001,,,,,,"Action, Adventure, Award Winning, Sci-Fi, Mecha",Gainax,0.119,2.867,0.478,3,1129,1,0,0
46102,,,,,,"Award Winning, Drama, Mystery, Suspense, Adult Cast, Anthropomorphic, Organized Crime","OLM, P.I.C.S.",0.149,1.633,0.541,3,572,6,1,0
33050,,,,,,"Action, Fantasy, Urban Fantasy",ufotable,0.176,2.055,0.533,3,808,2,0,0
57647,,,,,,"Sports, Anthropomorphic, Racing",CygamesPictures,0.151,2.828,0.565,3,60,5,1,0
58125,,,,,,"Drama, Otaku Culture, Shounen",Studio DURIAN,0.166,3.091,0.519,3,978,2,0,0
34599,,,,,,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",Kinema Citrus,0.2,2.625,0.534,3,1208,5,3,0
11665,,,,,,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",Brain's Base,0.124,2.16,0.528,3,1193,3,0,0
22135,,,,,,"Award Winning, Drama, Sports, Seinen",Tatsunoko Production,0.123,1.633,0.472,3,1439,3,1,0
40591,,,,,,"Comedy, Romance, School, Seinen",A-1 Pictures,0.116,2.625,0.521,3,706,5,3,0
45576,,,,,,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation",Studio Bind,0.155,2.625,0.476,3,819,2,0,0
1535,,,,,,"Supernatural, Suspense, Psychological, Shounen",Madhouse,0.183,2.494,0.526,3,1044,5,2,0
28891,,,,,,"Sports, School, Team Sports, Shounen",Production I.G,0.196,2.494,0.527,3,1032,5,1,0
54898,,,,,,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Vampire, Seinen",Bones,0.143,3.742,0.49,3,717,1,2,0
42310,,,,,,"Action, Sci-Fi, Gore, Organized Crime",Trigger,0.105,3.742,0.532,3,1230,5,2,0
52742,,,,,,"Sports, School, Team Sports, Shounen",Production I.G,0.118,2.494,0.428,3,906,2,0,0
19647,,,,,,"Sports, Combat Sports, Shounen","Madhouse, MAPPA",0.215,0.471,0.503,3,926,4,0,0
